ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2013-11-05,0.375,2.504,-2.754,120,7.0,APPLE INC
AAPL,MM,2013-11-06,0.97,3.259,-2.32,99,8.0,APPLE INC
AAPL,MM,2013-11-07,0.792,3.135,-2.55,53,4.0,APPLE INC
AAPL,MM,2013-11-08,0.34,2.364,-2.684,47,3.0,APPLE INC
AAPL,MM,2013-11-09,-1.312,1.257,-2.882,16,3.0,APPLE INC
AAPL,MM,2013-11-10,2.087,4.17,0.004,23,4.0,APPLE INC
AAPL,MM,2013-11-11,1.58,3.448,-1.288,69,9.0,APPLE INC
AAPL,MM,2013-11-12,0.794,2.798,-2.21,68,5.0,APPLE INC
AAPL,MM,2013-11-13,0.289,2.471,-2.893,83,8.0,APPLE INC
AAPL,MM,2013-11-14,0.554,2.897,-2.789,74,8.0,APPLE INC
AAPL,MM,2013-11-15,0.4,2.639,-2.839,80,9.0,APPLE INC
AAPL,MM,2013-11-16,-1.333,1.366,-3.033,12,6.0,APPLE INC
AAPL,MM,2013-11-17,1.167,2.234,0.099,6,5.0,APPLE INC
AAPL,MM,2013-11-18,0.513,2.287,-2.262,80,10.0,APPLE INC
AAPL,MM,2013-11-19,0.449,2.675,-2.778,107,10.0,APPLE INC
AAPL,MM,2013-11-20,0.424,2.622,-2.774,92,8.0,APPLE INC
AAPL,MM,2013-11-21,0.32,2.128,-2.488,97,9.0,APPLE INC
AAPL,MM,2013-11-22,0.5,2.511,-2.511,68,6.0,APPLE INC
AAPL,MM,2013-11-23,0.909,2.93,-2.111,11,4.0,APPLE INC
AAPL,MM,2013-11-24,1.667,3.415,-1.081,12,4.0,APPLE INC
AAPL,MM,2013-11-25,0.855,2.635,-1.925,69,8.0,APPLE INC
AAPL,MM,2013-11-26,0.051,2.338,-3.235,78,7.0,APPLE INC
AAPL,MM,2013-11-27,1.322,3.359,-1.715,59,6.0,APPLE INC
AAPL,MM,2013-11-28,-1.276,1.362,-2.914,29,2.0,APPLE INC
AAPL,MM,2013-11-29,1.263,3.436,-1.909,57,7.0,APPLE INC
AAPL,MM,2013-11-30,1.75,4.135,-1.635,4,4.0,APPLE INC
AAPL,MM,2013-12-01,0.571,2.953,-2.81,7,3.0,APPLE INC
AAPL,MM,2013-12-02,1.022,3.049,-2.005,46,7.0,APPLE INC
AAPL,MM,2013-12-03,0.526,2.605,-2.552,114,10.0,APPLE INC
AAPL,MM,2013-12-04,1.725,3.788,-1.339,69,6.0,APPLE INC
AAPL,MM,2013-12-05,0.75,2.967,-2.467,124,10.0,APPLE INC
AAPL,MM,2013-12-06,1.129,3.601,-2.343,62,5.0,APPLE INC
AAPL,MM,2013-12-07,0.583,2.855,-2.688,24,4.0,APPLE INC
AAPL,MM,2013-12-08,-1.6,0.6,-2.8,5,4.0,APPLE INC
AAPL,MM,2013-12-09,1.058,3.628,-2.512,69,7.0,APPLE INC
AAPL,MM,2013-12-10,0.61,3.101,-2.881,59,4.0,APPLE INC
AAPL,MM,2013-12-11,0.85,2.202,-1.502,20,1.0,APPLE INC
AAPL,MM,2013-12-12,0.705,3.026,-2.615,129,10.0,APPLE INC
AAPL,MM,2013-12-13,0.435,2.365,-2.495,46,3.0,APPLE INC
AAPL,MM,2013-12-14,-1.286,1.292,-2.864,7,2.0,APPLE INC
AAPL,MM,2013-12-15,1.0,2.512,-1.512,7,2.0,APPLE INC
AAPL,MM,2013-12-16,1.058,3.1,-1.984,52,5.0,APPLE INC
AAPL,MM,2013-12-17,0.8,2.912,-2.312,40,3.0,APPLE INC
AAPL,MM,2013-12-18,1.18,3.155,-1.795,89,6.0,APPLE INC
AAPL,MM,2013-12-19,1.469,3.333,-1.394,49,3.0,APPLE INC
AAPL,MM,2013-12-20,0.407,3.007,-3.193,54,6.0,APPLE INC
AAPL,MM,2013-12-21,-1.133,2.084,-3.35,15,4.0,APPLE INC
AAPL,MM,2013-12-22,0.222,2.153,-2.709,18,5.0,APPLE INC
AAPL,MM,2013-12-23,2.022,4.171,-1.127,181,10.0,APPLE INC
AAPL,MM,2013-12-24,1.667,3.563,-1.229,51,2.0,APPLE INC
AAPL,MM,2013-12-25,0.1,1.968,-2.768,10,0.0,APPLE INC
AAPL,MM,2013-12-26,1.25,3.081,-1.581,36,1.0,APPLE INC
AAPL,MM,2013-12-27,0.353,2.049,-2.343,34,1.0,APPLE INC
AAPL,MM,2013-12-28,1.19,3.513,-2.132,21,2.0,APPLE INC
AAPL,MM,2013-12-29,0.1,2.072,-2.872,10,2.0,APPLE INC
AAPL,MM,2013-12-30,0.482,2.544,-2.579,56,4.0,APPLE INC
AAPL,MM,2013-12-31,-1.02,2.101,-3.141,50,8.0,APPLE INC
AAPL,MM,2014-01-01,0.438,2.168,-2.293,32,5.0,APPLE INC
AAPL,MM,2014-01-02,-1.113,1.994,-3.219,71,10.0,APPLE INC
AAPL,MM,2014-01-03,0.036,2.515,-3.442,55,7.0,APPLE INC
AAPL,MM,2014-01-04,-1.187,1.441,-2.816,16,6.0,APPLE INC
AAPL,MM,2014-01-05,-1.333,1.23,-2.897,9,6.0,APPLE INC
AAPL,MM,2014-01-06,0.37,2.363,-2.623,92,10.0,APPLE INC
AAPL,MM,2014-01-07,0.197,2.291,-2.898,122,10.0,APPLE INC
AAPL,MM,2014-01-08,0.966,3.408,-2.476,59,4.0,APPLE INC
AAPL,MM,2014-01-09,0.584,2.509,-2.34,89,7.0,APPLE INC
AAPL,MM,2014-01-10,0.818,3.115,-2.479,55,4.0,APPLE INC
AAPL,MM,2014-01-11,0.385,2.288,-2.518,13,3.0,APPLE INC
AAPL,MM,2014-01-12,-1.0,2.16,-3.16,3,2.0,APPLE INC
AAPL,MM,2014-01-13,0.578,2.55,-2.394,45,5.0,APPLE INC
AAPL,MM,2014-01-14,0.78,2.935,-2.376,59,4.0,APPLE INC
AAPL,MM,2014-01-15,1.404,3.77,-1.962,109,10.0,APPLE INC
AAPL,MM,2014-01-16,0.8,2.921,-2.321,65,5.0,APPLE INC
AAPL,MM,2014-01-17,0.039,2.244,-3.166,51,4.0,APPLE INC
AAPL,MM,2014-01-18,1.333,3.69,-2.024,3,2.0,APPLE INC
AAPL,MM,2014-01-19,3.167,4.38,1.953,6,2.0,APPLE INC
